iter	Passed	Remaining
0	0	95
1	1	84
2	2	83
3	3	74
4	3	71
5	4	68
6	5	70
7	5	68
8	6	65
9	7	63
10	7	62
11	8	60
12	8	59
13	9	58
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	53
20	13	52
21	14	52
22	15	51
23	16	51
24	16	50
25	17	49
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	45
32	21	44
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	25	40
39	26	39
40	27	38
41	27	37
42	27	37
43	28	36
44	29	35
45	29	34
46	30	34
47	30	33
48	31	32
49	32	32
50	32	31
51	33	30
52	33	30
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	26
59	38	25
60	38	24
61	39	24
62	39	23
63	40	22
64	41	22
65	42	21
66	42	21
67	43	20
68	43	19
69	44	19
70	45	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	49	14
77	49	14
78	50	13
79	51	12
80	51	12
81	52	11
82	53	10
83	53	10
84	54	9
85	54	8
86	55	8
87	56	7
88	56	7
89	57	6
90	57	5
91	58	5
92	59	4
93	59	3
94	60	3
95	60	2
96	61	1
97	62	1
98	62	0
99	63	0
